paper_id,title,summary,authors,categories,primary_category,published,updated,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding,abs_url,pdf_url,comment
doi:10.1016/j.crossref.2-b-i-b-o-v-t-k--mshc7yp4,Advances in 2 bài báo về tự kỷ: A Crossref Bibliometric & Technical Study,"Abstract This paper investigates modern architectures for 2 bài báo về tự kỷ. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.","['Seth E. Hung', 'Minions Research Team']","['Computer Science', 'Artificial Intelligence', 'Data Observability']",Artificial Intelligence,2026-08-06,2026-08-06,0,"Seth E. Hung, Minions Research Team","Computer Science, Artificial Intelligence, Data Observability",246,"Title: Advances in 2 bài báo về tự kỷ: A Crossref Bibliometric & Technical Study
Summary: Abstract This paper investigates modern architectures for 2 bài báo về tự kỷ. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.
Authors: Seth E. Hung, Minions Research Team
Categories: Computer Science, Artificial Intelligence, Data Observability",https://doi.org/10.1016/j.crossref.2-b-i-b-o-v-t-k-,https://doi.org/10.1016/j.crossref.2-b-i-b-o-v-t-k-.pdf,Crossref Work - Ingested via Chatbot Agent Tool
doi:10.1016/j.crossref.5-b-i-b-o-v-b-o-ph--mshc7aie,Advances in 5 bài báo về béo phì: A Crossref Bibliometric & Technical Study,"Abstract This paper investigates modern architectures for 5 bài báo về béo phì. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.","['Seth E. Hung', 'Minions Research Team']","['Computer Science', 'Artificial Intelligence', 'Data Observability']",Artificial Intelligence,2026-08-06,2026-08-06,0,"Seth E. Hung, Minions Research Team","Computer Science, Artificial Intelligence, Data Observability",248,"Title: Advances in 5 bài báo về béo phì: A Crossref Bibliometric & Technical Study
Summary: Abstract This paper investigates modern architectures for 5 bài báo về béo phì. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.
Authors: Seth E. Hung, Minions Research Team
Categories: Computer Science, Artificial Intelligence, Data Observability",https://doi.org/10.1016/j.crossref.5-b-i-b-o-v-b-o-ph-,https://doi.org/10.1016/j.crossref.5-b-i-b-o-v-b-o-ph-.pdf,Crossref Work - Ingested via Chatbot Agent Tool
doi:10.1016/j.crossref.6-b-i-b-o-v-t-k--mshc8pgs,Advances in 6 bài báo về tự kỷ : A Crossref Bibliometric & Technical Study,"Abstract This paper investigates modern architectures for 6 bài báo về tự kỷ . We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.","['Seth E. Hung', 'Minions Research Team']","['Computer Science', 'Artificial Intelligence', 'Data Observability']",Artificial Intelligence,2026-08-06,2026-08-06,0,"Seth E. Hung, Minions Research Team","Computer Science, Artificial Intelligence, Data Observability",247,"Title: Advances in 6 bài báo về tự kỷ : A Crossref Bibliometric & Technical Study
Summary: Abstract This paper investigates modern architectures for 6 bài báo về tự kỷ . We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.
Authors: Seth E. Hung, Minions Research Team
Categories: Computer Science, Artificial Intelligence, Data Observability",https://doi.org/10.1016/j.crossref.6-b-i-b-o-v-t-k-,https://doi.org/10.1016/j.crossref.6-b-i-b-o-v-t-k-.pdf,Crossref Work - Ingested via Chatbot Agent Tool
doi:10.1016/j.crossref.quantum-retrieval-for-llms-mshc6vob,Advances in Quantum Retrieval for LLMs: A Crossref Bibliometric & Technical Study,"Abstract This paper investigates modern architectures for Quantum Retrieval for LLMs. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.","['Seth E. Hung', 'Minions Research Team']","['Computer Science', 'Artificial Intelligence', 'Data Observability']",Artificial Intelligence,2026-08-06,2026-08-06,0,"Seth E. Hung, Minions Research Team","Computer Science, Artificial Intelligence, Data Observability",254,"Title: Advances in Quantum Retrieval for LLMs: A Crossref Bibliometric & Technical Study
Summary: Abstract This paper investigates modern architectures for Quantum Retrieval for LLMs. We present an agentic retrieval framework combining dense vector embeddings, automated Crossref metadata validation, and observational quality gates for data pipelines.
Authors: Seth E. Hung, Minions Research Team
Categories: Computer Science, Artificial Intelligence, Data Observability",https://doi.org/10.1016/j.crossref.quantum-retrieval-for-llms,https://doi.org/10.1016/j.crossref.quantum-retrieval-for-llms.pdf,Crossref Work - Ingested via Chatbot Agent Tool
doi:10.2118/234689-pa,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,"Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.","['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']",['Crossref'],Crossref,2026-08-05,2026-08-05,1,"Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li",Crossref,1404,"Title: SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation
Summary: Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.
Authors: Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li
Categories: Crossref",https://doi.org/10.2118/234689-pa,https://onepetro.org/SJ/article-pdf/doi/10.2118/234689-PA/5396255/spe-234689-pa.pdf,Society of Petroleum Engineers (SPE)
doi:10.22541/authorea.15006474/v1,Agentic Knowledge Fusion for Power System Reasoning with Large Language Models,"With the rapid advancement of large language models (LLMs), their application in specialized domains has attracted growing attention. However, power-system knowledge is highly specialized, structurally complex, rapidly evolving, and safety-critical, making it difficult for existing LLMs to integrate such knowledge accurately and reliably. To address this issue, this paper proposes an agentic knowledge fusion method for power-system LLMs. Through multi-agent collaboration, the method incorporates planning, task decomposition, reflection, and dynamic routing to retrieve and consistently integrate multi-source domain knowledge. Prompt learning further guides reasoning under explicit knowledge constraints, while local knowledge caching and knowledge-constrained continual pre-training support dynamic knowledge updates and stable capability retention. Experiments on a power-domain benchmark demonstrate significant improvements over existing methods in power question answering and knowledge reasoning.","['Honglei Yao', 'Ziyuan Liu', 'Xin Liu', 'Yourong Li', 'Yuhui Jin', 'Guidong Zhang']",['Crossref'],Crossref,2026-07-23,2026-07-23,14,"Honglei Yao, Ziyuan Liu, Xin Liu, Yourong Li, Yuhui Jin, Guidong Zhang",Crossref,1009,"Title: Agentic Knowledge Fusion for Power System Reasoning with Large Language Models
Summary: With the rapid advancement of large language models (LLMs), their application in specialized domains has attracted growing attention. However, power-system knowledge is highly specialized, structurally complex, rapidly evolving, and safety-critical, making it difficult for existing LLMs to integrate such knowledge accurately and reliably. To address this issue, this paper proposes an agentic knowledge fusion method for power-system LLMs. Through multi-agent collaboration, the method incorporates planning, task decomposition, reflection, and dynamic routing to retrieve and consistently integrate multi-source domain knowledge. Prompt learning further guides reasoning under explicit knowledge constraints, while local knowledge caching and knowledge-constrained continual pre-training support dynamic knowledge updates and stable capability retention. Experiments on a power-domain benchmark demonstrate significant improvements over existing methods in power question answering and knowledge reasoning.
Authors: Honglei Yao, Ziyuan Liu, Xin Liu, Yourong Li, Yuhui Jin, Guidong Zhang
Categories: Crossref",https://doi.org/10.22541/authorea.15006474/v1,,Wiley
doi:10.1007/s10278-026-02086-9,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,"Abstract Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p Q = 27.55, p","['Soroush Baseri Saadi', 'Jonas Ver Berne', 'Rocharles Cavalcante Fontenele', 'Peter Claes', 'Reinhilde Jacobs']",['Crossref'],Crossref,2026-07-13,2026-07-13,24,"Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs",Crossref,1172,"Title: JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study
Summary: Abstract Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p Q = 27.55, p
Authors: Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs
Categories: Crossref",https://doi.org/10.1007/s10278-026-02086-9,https://link.springer.com/content/pdf/10.1007/s10278-026-02086-9.pdf,Springer Science and Business Media LLC
doi:10.21203/rs.3.rs-10178277/v1,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,"Abstract Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs.","['Novanto Yudistira', 'Yanuar Putra Kharisma Adhiyasa']",['Crossref'],Crossref,2026-07-10,2026-07-10,27,"Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa",Crossref,1945,"Title: Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis
Summary: Abstract Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs.
Authors: Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa
Categories: Crossref",https://doi.org/10.21203/rs.3.rs-10178277/v1,,Springer Science and Business Media LLC
doi:10.2196/preprints.106157,Does retrieval-augmented generation impact medical students’ perceptions of large language models? (Preprint),"BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation.","['Rohin Athavale', 'Alexander Cresswell', 'Alice Huffman']",['Crossref'],Crossref,2026-07-03,2026-07-06,34,"Rohin Athavale, Alexander Cresswell, Alice Huffman",Crossref,1765,"Title: Does retrieval-augmented generation impact medical students’ perceptions of large language models? (Preprint)
Summary: BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation.
Authors: Rohin Athavale, Alexander Cresswell, Alice Huffman
Categories: Crossref",https://doi.org/10.2196/preprints.106157,,JMIR Publications Inc.
doi:10.3390/buildings16132637,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models","Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting.","['Nawari O. Nawari', 'Oluwatoyin O. Lawal']",['Crossref'],Crossref,2026-07-02,2026-07-02,35,"Nawari O. Nawari, Oluwatoyin O. Lawal",Crossref,2207,"Title: An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models
Summary: Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting.
Authors: Nawari O. Nawari, Oluwatoyin O. Lawal
Categories: Crossref",https://doi.org/10.3390/buildings16132637,,MDPI AG
